week_start,week_end,week,month,year,theft,population_rate,education_rate,poverty_rate,inflation_rate,unemployment_rate,gdp,cpi
29/12/2014,04/01/2015,1,December,2014,948,0.35,22,13.6,0.1,6.1,2.9,-0.181205859
05/01/2015,11/01/2015,2,January,2015,839,0.35,22,13.6,0.1,6.1,2.9,-0.181205859
12/01/2015,18/01/2015,3,January,2015,1066,0.35,22,13.6,0.1,6.1,2.9,-0.181205859
19/01/2015,25/01/2015,4,January,2015,1124,0.35,22,13.6,0.1,6.1,2.9,-0.181205859
26/01/2015,01/02/2015,5,January,2015,954,0.35,22,13.6,0.1,6.1,2.9,-0.181205859
02/02/2015,08/02/2015,1,February,2015,782,0.35,22,13.6,0.1,6.1,2.9,-0.039406337
09/02/2015,15/02/2015,2,February,2015,834,0.35,22,13.6,0.1,6.1,2.9,-0.039406337
16/02/2015,22/02/2015,3,February,2015,817,0.35,22,13.6,0.1,6.1,2.9,-0.039406337
23/02/2015,01/03/2015,4,February,2015,821,0.35,22,13.6,0.1,6.1,2.9,-0.039406337
02/03/2015,08/03/2015,1,March,2015,867,0.35,22,13.6,0.1,6,2.9,0.727311
09/03/2015,15/03/2015,2,March,2015,1048,0.35,22,13.6,0.1,6,2.9,0.727311
16/03/2015,22/03/2015,3,March,2015,1000,0.35,22,13.6,0.1,6,2.9,0.727311
23/03/2015,29/03/2015,4,March,2015,933,0.35,22,13.6,0.1,6,2.9,0.727311
30/03/2015,05/04/2015,5,March,2015,1061,0.35,22,13.6,0.1,6,2.9,0.727311
06/04/2015,12/04/2015,1,April,2015,1004,0.35,22,13.6,0.1,6,2.9,0.131483
13/04/2015,19/04/2015,2,April,2015,1094,0.35,22,13.6,0.1,6,2.9,0.131483
20/04/2015,26/04/2015,3,April,2015,1062,0.35,22,13.6,0.1,6,2.9,0.131483
27/04/2015,03/05/2015,4,April,2015,1099,0.35,22,13.6,0.1,6,2.9,0.131483
04/05/2015,10/05/2015,1,May,2015,1080,0.35,22,13.6,0.1,6,2.9,0.346942
11/05/2015,17/05/2015,2,May,2015,1160,0.35,22,13.6,0.1,6,2.9,0.346942
18/05/2015,24/05/2015,3,May,2015,1102,0.35,22,13.6,0.1,6,2.9,0.346942
25/05/2015,31/05/2015,4,May,2015,1104,0.35,22,13.6,0.1,6,2.9,0.346942
01/06/2015,07/06/2015,1,June,2015,1142,0.35,22,13.6,0.1,6,2.9,0.150113
08/06/2015,14/06/2015,2,June,2015,1176,0.35,22,13.6,0.1,6,2.9,0.150113
15/06/2015,21/06/2015,3,June,2015,1213,0.35,22,13.6,0.1,6,2.9,0.150113
22/06/2015,28/06/2015,4,June,2015,1150,0.35,22,13.6,0.1,6,2.9,0.150113
29/06/2015,05/07/2015,1,June,2015,1167,0.35,22,13.6,0.1,6,2.9,0.150113
06/07/2015,12/07/2015,2,July,2015,1194,0.35,22,13.6,0.1,5.9,2.9,-0.108811075
